Town,Date,Collected_at,Temperature,Weather,Real_feel,Humidity
omisalj,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
matulji,09.05.2020.,19:30,17.0,malo oblačno,17.0,48.0
medveja,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
lovran,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
lipa,09.05.2020.,19:30,25.0,malo oblačno,25.0,30.0
krasica,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
klenovica,09.05.2020.,19:30,22.0,vedro,24.0,42.0
kastav,09.05.2020.,19:30,17.0,malo oblačno,17.0,48.0
klana,09.05.2020.,19:30,17.0,malo oblačno,17.0,48.0
grobnik,09.05.2020.,19:30,25.0,malo oblačno,25.0,30.0
hreljin,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
fuzine,09.05.2020.,19:30,21.0,malo oblačno,23.0,32.0
drazice,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
delnice,09.05.2020.,19:30,21.0,malo oblačno,23.0,32.0
crikvenica,09.05.2020.,19:30,21.0,malo oblačno,24.0,48.0
bribir,09.05.2020.,19:30,22.0,malo oblačno,23.0,28.0
brgud,09.05.2020.,19:30,22.0,malo oblačno,23.0,28.0
bakar,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
bakarac,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
baska,09.05.2020.,19:30,22.0,vedro,24.0,42.0
rubesi,09.05.2020.,19:30,17.0,malo oblačno,17.0,48.0
rijeka,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
opatija,09.05.2020.,19:30,26.0,pretežno oblačno,26.0,34.0
jadranovo,09.05.2020.,19:30,21.0,malo oblačno,24.0,48.0
vrata,09.05.2020.,19:30,21.0,malo oblačno,23.0,32.0
selce,09.05.2020.,19:30,21.0,malo oblačno,24.0,48.0
veprinac,09.05.2020.,19:30,20.0,malo oblačno,24.0,55.0
omisalj,09.05.2020.,21:30,16.0,malo oblačno,16.0,62.0
matulji,09.05.2020.,21:30,12.0,malo oblačno,12.0,63.0
medveja,09.05.2020.,21:30,16.0,malo oblačno,16.0,62.0
lovran,09.05.2020.,21:30,16.0,malo oblačno,16.0,62.0
lipa,09.05.2020.,21:30,19.0,vedro,19.0,35.0
krasica,09.05.2020.,21:30,16.0,malo oblačno,16.0,62.0
klenovica,09.05.2020.,21:30,18.0,vedro,18.0,53.0
kastav,09.05.2020.,21:30,12.0,malo oblačno,12.0,63.0
klana,09.05.2020.,21:30,12.0,malo oblačno,12.0,63.0
grobnik,09.05.2020.,21:30,19.0,vedro,19.0,35.0
hreljin,09.05.2020.,21:30,16.0,malo oblačno,16.0,62.0
