,bakar,bakarac,baska,brgud,bribir,crikvenica,delnice,drazice,fuzine,grobnik,hreljin,jadranovo,kastav,klana,klenovica,krasica,lipa,lovran,matulji,medveja,omisalj,opatija,rijeka,rubesi,selce,veprinac,vrata
2020-05-09 19:30:00,20.0,20.0,22.0,22.0,22.0,21.0,21.0,20.0,21.0,25.0,20.0,21.0,17.0,17.0,22.0,20.0,25.0,20.0,17.0,20.0,20.0,26.0,20.0,17.0,21.0,20.0,21.0
2020-05-09 21:30:00,16.0,16.0,18.0,17.0,17.0,17.0,18.0,16.0,18.0,19.0,16.0,17.0,12.0,12.0,18.0,16.0,19.0,16.0,12.0,16.0,16.0,22.0,16.0,12.0,17.0,16.0,18.0
2020-05-10 23:30:00,14.0,14.0,16.0,12.0,12.0,15.0,17.0,14.0,17.0,14.0,14.0,15.0,10.0,10.0,16.0,14.0,14.0,14.0,10.0,14.0,14.0,19.0,14.0,10.0,15.0,14.0,17.0
2020-05-10 01:30:00,14.0,14.0,15.0,9.0,9.0,14.0,17.0,14.0,17.0,12.0,14.0,14.0,11.0,11.0,15.0,14.0,12.0,14.0,11.0,14.0,14.0,17.0,14.0,11.0,14.0,14.0,17.0
2020-05-10 03:30:00,15.0,15.0,14.0,8.0,8.0,14.0,15.0,15.0,15.0,9.0,15.0,14.0,10.0,10.0,14.0,15.0,9.0,15.0,10.0,15.0,15.0,11.0,15.0,10.0,14.0,15.0,15.0
2020-05-10 05:30:00,15.0,15.0,14.0,7.0,7.0,14.0,14.0,15.0,14.0,7.0,15.0,14.0,11.0,11.0,14.0,15.0,7.0,15.0,11.0,15.0,15.0,10.0,15.0,11.0,14.0,15.0,14.0
2020-05-10 07:30:00,16.0,16.0,15.0,9.0,9.0,14.0,13.0,16.0,13.0,9.0,16.0,14.0,10.0,10.0,15.0,16.0,9.0,16.0,10.0,16.0,16.0,11.0,16.0,10.0,14.0,16.0,13.0
2020-05-10 09:00:00,18.0,18.0,17.0,19.0,19.0,16.0,20.0,18.0,20.0,17.0,18.0,16.0,12.0,12.0,17.0,18.0,17.0,18.0,12.0,18.0,18.0,19.0,18.0,12.0,16.0,18.0,20.0
2020-05-10 11:30:00,19.0,19.0,19.0,23.0,23.0,20.0,23.0,19.0,23.0,23.0,19.0,20.0,15.0,15.0,19.0,19.0,23.0,19.0,15.0,19.0,19.0,22.0,19.0,15.0,20.0,19.0,23.0
2020-05-10 13:30:00,21.0,21.0,21.0,23.0,23.0,22.0,21.0,21.0,21.0,24.0,21.0,22.0,16.0,16.0,21.0,21.0,24.0,21.0,16.0,21.0,21.0,24.0,21.0,16.0,22.0,21.0,21.0
2020-05-10 15:30:00,22.0,22.0,22.0,24.0,24.0,22.0,24.0,22.0,24.0,25.0,22.0,22.0,18.0,18.0,22.0,22.0,25.0,22.0,18.0,22.0,22.0,25.0,22.0,18.0,22.0,22.0,24.0
2020-05-10 17:30:00,21.0,21.0,23.0,22.0,22.0,21.0,23.0,21.0,23.0,24.0,21.0,21.0,16.0,16.0,23.0,21.0,24.0,21.0,16.0,21.0,21.0,24.0,21.0,16.0,21.0,21.0,23.0
2020-05-10 19:30:00,18.0,18.0,21.0,20.0,20.0,19.0,20.0,18.0,20.0,24.0,18.0,19.0,14.0,14.0,21.0,18.0,24.0,18.0,14.0,18.0,18.0,24.0,18.0,14.0,19.0,18.0,20.0
2020-05-10 21:30:00,16.0,16.0,18.0,16.0,16.0,18.0,17.0,16.0,17.0,20.0,16.0,18.0,11.0,11.0,18.0,16.0,20.0,16.0,11.0,16.0,16.0,22.0,16.0,11.0,18.0,16.0,17.0
2020-05-11 23:30:00,16.0,16.0,17.0,14.0,14.0,16.0,16.0,16.0,16.0,18.0,16.0,16.0,11.0,11.0,17.0,16.0,18.0,16.0,11.0,16.0,16.0,17.0,16.0,11.0,16.0,16.0,16.0
2020-05-11 01:30:00,15.0,15.0,17.0,12.0,12.0,14.0,17.0,15.0,17.0,12.0,15.0,14.0,11.0,11.0,17.0,15.0,12.0,15.0,11.0,15.0,15.0,14.0,15.0,11.0,14.0,15.0,17.0
2020-05-11 03:30:00,15.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,16.0,9.0,15.0,15.0,10.0,10.0,15.0,15.0,9.0,15.0,10.0,15.0,15.0,11.0,15.0,10.0,15.0,15.0,16.0
2020-05-11 05:30:00,16.0,16.0,16.0,14.0,14.0,15.0,16.0,16.0,16.0,9.0,16.0,15.0,11.0,11.0,16.0,16.0,9.0,16.0,11.0,16.0,16.0,13.0,16.0,11.0,15.0,16.0,16.0
2020-05-11 07:30:00,16.0,16.0,16.0,16.0,16.0,16.0,15.0,16.0,15.0,12.0,16.0,16.0,11.0,11.0,16.0,16.0,12.0,16.0,11.0,16.0,16.0,16.0,16.0,11.0,16.0,16.0,15.0
2020-05-11 09:30:00,16.0,16.0,19.0,17.0,17.0,18.0,17.0,16.0,17.0,15.0,16.0,18.0,11.0,11.0,19.0,16.0,15.0,16.0,11.0,16.0,16.0,18.0,16.0,11.0,18.0,16.0,17.0
2020-05-11 11:30:00,15.0,15.0,18.0,17.0,17.0,18.0,19.0,15.0,19.0,19.0,15.0,18.0,10.0,10.0,18.0,15.0,19.0,15.0,10.0,15.0,15.0,18.0,15.0,10.0,18.0,15.0,19.0
2020-05-11 13:30:00,15.0,15.0,18.0,18.0,18.0,18.0,20.0,15.0,20.0,20.0,15.0,18.0,11.0,11.0,18.0,15.0,20.0,15.0,11.0,15.0,15.0,21.0,15.0,11.0,18.0,15.0,20.0
2020-05-11 15:30:00,16.0,16.0,20.0,20.0,20.0,20.0,20.0,16.0,20.0,24.0,16.0,20.0,11.0,11.0,20.0,16.0,24.0,16.0,11.0,16.0,16.0,22.0,16.0,11.0,20.0,16.0,20.0
