,bakar,bakarac,baska,brgud,bribir,crikvenica,delnice,drazice,fuzine,grobnik,hreljin,jadranovo,kastav,klana,klenovica,krasica,lipa,lovran,matulji,medveja,omisalj,opatija,rijeka,rubesi,selce,veprinac,vrata
2020-05-09 19:30:00,55.0,55.0,42.0,28.0,28.0,48.0,32.0,55.0,32.0,30.0,55.0,48.0,48.0,48.0,42.0,55.0,30.0,55.0,48.0,55.0,55.0,34.0,55.0,48.0,48.0,55.0,32.0
2020-05-09 21:30:00,62.0,62.0,53.0,47.0,47.0,50.0,38.0,62.0,38.0,35.0,62.0,50.0,63.0,63.0,53.0,62.0,35.0,62.0,63.0,62.0,62.0,41.0,62.0,63.0,50.0,62.0,38.0
2020-05-09 23:30:00,48.0,48.0,48.0,67.0,67.0,56.0,38.0,48.0,38.0,56.0,48.0,56.0,51.0,51.0,48.0,48.0,56.0,48.0,51.0,48.0,48.0,45.0,48.0,51.0,56.0,48.0,38.0
2020-05-10 01:30:00,48.0,48.0,58.0,50.0,52.0,54.0,38.0,48.0,38.0,68.0,48.0,54.0,45.0,45.0,58.0,48.0,68.0,48.0,45.0,48.0,48.0,50.0,48.0,45.0,54.0,48.0,38.0
2020-05-10 03:30:00,46.0,46.0,55.0,82.0,82.0,55.0,41.0,46.0,41.0,82.0,46.0,55.0,50.0,50.0,55.0,46.0,82.0,46.0,50.0,46.0,46.0,79.0,46.0,50.0,55.0,46.0,41.0
2020-05-10 05:30:00,52.0,52.0,62.0,85.0,85.0,57.0,47.0,52.0,47.0,92.0,52.0,57.0,35.0,35.0,62.0,52.0,92.0,52.0,35.0,52.0,52.0,83.0,52.0,35.0,57.0,52.0,47.0
2020-05-10 07:30:00,50.0,50.0,59.0,78.0,78.0,62.0,61.0,50.0,61.0,85.0,50.0,62.0,49.0,49.0,59.0,50.0,85.0,50.0,49.0,50.0,50.0,84.0,50.0,49.0,62.0,50.0,61.0
2020-05-10 09:30:00,49.0,49.0,65.0,41.0,41.0,68.0,40.0,49.0,40.0,60.0,49.0,68.0,59.0,59.0,65.0,49.0,60.0,49.0,59.0,49.0,49.0,41.0,49.0,59.0,68.0,49.0,40.0
2020-05-10 11:30:00,47.0,47.0,56.0,34.0,34.0,40.0,34.0,47.0,34.0,39.0,47.0,40.0,53.0,53.0,56.0,47.0,39.0,47.0,53.0,47.0,47.0,38.0,47.0,53.0,40.0,47.0,34.0
2020-05-10 13:30:00,38.0,38.0,51.0,35.0,35.0,35.0,45.0,38.0,45.0,37.0,38.0,35.0,50.0,50.0,51.0,38.0,37.0,38.0,50.0,38.0,38.0,35.0,38.0,50.0,35.0,38.0,45.0
2020-05-10 15:30:00,41.0,41.0,40.0,34.0,34.0,44.0,40.0,41.0,40.0,34.0,41.0,44.0,52.0,52.0,40.0,41.0,34.0,41.0,52.0,41.0,41.0,35.0,41.0,52.0,44.0,41.0,40.0
2020-05-10 17:30:00,47.0,47.0,37.0,30.0,30.0,51.0,37.0,47.0,37.0,33.0,47.0,51.0,44.0,44.0,37.0,47.0,33.0,47.0,44.0,47.0,47.0,35.0,47.0,44.0,51.0,47.0,37.0
2020-05-10 19:30:00,71.0,71.0,50.0,32.0,32.0,69.0,43.0,71.0,43.0,35.0,71.0,69.0,55.0,55.0,50.0,71.0,35.0,71.0,55.0,71.0,71.0,36.0,71.0,55.0,69.0,71.0,43.0
2020-05-10 21:30:00,87.0,87.0,68.0,45.0,45.0,67.0,55.0,87.0,55.0,40.0,87.0,67.0,79.0,79.0,68.0,87.0,40.0,87.0,79.0,87.0,87.0,41.0,87.0,79.0,67.0,87.0,55.0
2020-05-10 23:30:00,71.0,71.0,64.0,53.0,53.0,73.0,58.0,71.0,58.0,51.0,71.0,73.0,69.0,69.0,64.0,71.0,51.0,71.0,69.0,71.0,71.0,56.0,71.0,69.0,73.0,71.0,58.0
2020-05-11 01:30:00,69.0,69.0,66.0,66.5,64.0,61.5,59.0,69.0,59.0,81.0,69.0,65.0,67.0,67.0,66.0,69.0,81.0,69.0,67.0,69.0,69.0,71.0,69.0,67.0,64.0,69.0,59.0
2020-05-11 03:30:00,64.0,64.0,72.0,39.0,39.0,72.0,55.0,64.0,55.0,91.0,64.0,72.0,62.0,62.0,72.0,64.0,91.0,64.0,62.0,64.0,64.0,86.0,64.0,62.0,72.0,64.0,55.0
2020-05-11 05:30:00,61.0,61.0,68.0,39.0,39.0,67.0,56.0,61.0,56.0,93.0,61.0,67.0,62.0,62.0,68.0,61.0,93.0,61.0,62.0,61.0,61.0,76.0,61.0,62.0,67.0,61.0,56.0
2020-05-11 07:30:00,60.0,60.0,67.0,38.0,38.0,74.0,50.0,60.0,50.0,86.0,60.0,74.0,56.0,56.0,67.0,60.0,86.0,60.0,56.0,60.0,60.0,62.0,60.0,56.0,74.0,60.0,50.0
2020-05-11 09:30:00,71.0,71.0,50.0,51.0,51.0,64.0,53.0,71.0,53.0,74.0,71.0,64.0,67.0,67.0,50.0,71.0,74.0,71.0,67.0,71.0,71.0,56.0,71.0,67.0,64.0,71.0,53.0
2020-05-11 11:30:00,79.0,79.0,51.0,42.0,42.0,48.0,40.0,79.0,40.0,47.0,79.0,48.0,70.0,70.0,51.0,79.0,47.0,79.0,70.0,79.0,79.0,54.0,79.0,70.0,48.0,79.0,40.0
2020-05-11 13:30:00,88.0,88.0,51.0,43.0,43.0,65.0,45.0,88.0,45.0,50.0,88.0,65.0,77.0,77.0,51.0,88.0,50.0,88.0,77.0,88.0,88.0,46.0,88.0,77.0,65.0,88.0,45.0
2020-05-11 15:30:00,82.0,82.0,48.0,42.0,42.0,52.0,44.0,82.0,44.0,39.0,82.0,52.0,79.0,79.0,48.0,82.0,39.0,82.0,79.0,82.0,82.0,41.0,82.0,79.0,52.0,82.0,44.0
2020-05-11 17:30:00,76.0,76.0,57.0,43.0,43.0,57.0,44.0,76.0,44.0,37.0,76.0,57.0,75.0,75.0,57.0,76.0,37.0,76.0,75.0,76.0,76.0,42.0,76.0,75.0,57.0,76.0,44.0
