Town1,Town2,Distance
omisalj,matulji,24.865164451629283
omisalj,medveja,23.46700434842731
omisalj,lovran,23.77247217093041
omisalj,lipa,34.57932973853714
omisalj,krasica,10.985707259624588
omisalj,klenovica,25.65656565100103
omisalj,kastav,24.245768809293494
omisalj,klana,29.546923187390444
omisalj,grobnik,19.122892938918064
omisalj,hreljin,8.638835561229461
omisalj,fuzine,15.97776959184395
omisalj,drazice,20.93314805347388
omisalj,delnice,28.262162533312033
omisalj,crikvenica,11.423805704523447
omisalj,bribir,16.898022400268868
omisalj,brgud,27.969481007036315
omisalj,bakar,10.732885262281966
omisalj,bakarac,7.755988398578261
omisalj,baska,30.803532232713536
omisalj,rubesi,23.942382166608073
omisalj,rijeka,15.709206949969689
omisalj,opatija,24.02386732700338
omisalj,jadranovo,4.8979597466301765
omisalj,vrata,17.76094183623478
omisalj,selce,14.11583308870778
omisalj,veprinac,25.87205203446365
matulji,omisalj,24.865164451629283
matulji,medveja,11.488368295377171
matulji,lovran,8.747135535903658
matulji,lipa,11.56972519096219
matulji,krasica,19.023797557364922
matulji,klenovica,50.10873093105445
matulji,kastav,2.1870909062314245
matulji,klana,9.787642801300839
matulji,grobnik,10.659671247631143
matulji,hreljin,23.244577410624185
matulji,fuzine,31.146851993828236
matulji,drazice,11.4292706844251
matulji,delnice,37.533955436502296
matulji,crikvenica,35.76640554450137
matulji,bribir,40.91218317555386
matulji,brgud,17.32388548330023
matulji,bakar,17.593705932878745
matulji,bakarac,22.288526508486417
matulji,baska,55.02121697877361
matulji,rubesi,1.7262533219687317
matulji,rijeka,10.018477587328261
matulji,opatija,3.824541828581278
matulji,jadranovo,27.499036006080356
matulji,vrata,32.06528524914236
matulji,selce,38.54696016851671
matulji,veprinac,4.849205126204161
medveja,omisalj,23.46700434842731
medveja,matulji,11.488368295377171
medveja,lovran,2.7944502154372795
medveja,lipa,22.27253031857819
medveja,krasica,22.941969469473502
medveja,klenovica,48.82559402927022
medveja,kastav,13.252827460612847
medveja,klana,21.274468261593928
medveja,grobnik,18.773343734265215
medveja,hreljin,25.90797205428925
medveja,fuzine,35.04870665084064
medveja,drazice,20.457617536459875
medveja,delnice,44.17025507983948
medveja,crikvenica,34.843978484824355
medveja,bribir,40.3446314611659
medveja,brgud,6.468697560826257
medveja,bakar,21.231476759233317
medveja,bakarac,24.613468643024007
medveja,baska,50.235711790482235
medveja,rubesi,12.570629344666143
medveja,rijeka,15.014139618388537
medveja,opatija,7.67389336109134
medveja,jadranovo,27.630397675556146
medveja,vrata,36.40817922343251
medveja,selce,37.46195701165206
medveja,veprinac,7.49870836297516
lovran,omisalj,23.77247217093041
lovran,matulji,8.747135535903658
lovran,medveja,2.7944502154372795
lovran,lipa,19.491731746353555
lovran,krasica,21.932824837037487
lovran,klenovica,49.36366493207509
lovran,kastav,10.590617355327755
lovran,klana,18.53270151782011
lovran,grobnik,16.74639091699269
lovran,hreljin,25.25903390166681
lovran,fuzine,34.22999685267663
lovran,drazice,18.286016836468665
lovran,delnice,42.760493807113406
lovran,crikvenica,35.19607546203168
lovran,bribir,40.65650148148911
lovran,brgud,8.757768531077776
lovran,bakar,20.24206933972804
lovran,bakarac,24.019462690927895
lovran,baska,51.629257444344965
lovran,rubesi,9.917298764523558
lovran,rijeka,13.457223345529975
lovran,opatija,4.922683415929791
lovran,jadranovo,27.629651990052405
lovran,vrata,35.496813282011956
lovran,selce,37.8781021007357
lovran,veprinac,4.740463674660074
lipa,omisalj,34.57932973853714
lipa,matulji,11.56972519096219
lipa,medveja,22.27253031857819
lipa,lovran,19.491731746353555
lipa,krasica,26.209580413578582
lipa,klenovica,58.61252303161154
lipa,kastav,10.989758655717026
lipa,klana,6.025546347296353
lipa,grobnik,16.287646889512263
lipa,hreljin,30.72484878975878
lipa,fuzine,36.721998854741855
lipa,drazice,15.32687886322339
lipa,delnice,39.58301182805236
lipa,crikvenica,44.5725628855022
lipa,bribir,49.27206811050931
lipa,brgud,27.108831040798886
lipa,bakar,25.274740761249696
lipa,bakarac,30.1369983944752
lipa,baska,65.31337785983234
lipa,rubesi,11.531575447100094
lipa,rijeka,18.871187395919737
lipa,opatija,14.912151088901696
lipa,jadranovo,36.20392680148254
lipa,vrata,37.138706762221666
lipa,selce,47.322762047516065
lipa,veprinac,14.780880701701491
krasica,omisalj,10.985707259624588
krasica,matulji,19.023797557364922
krasica,medveja,22.941969469473502
krasica,lovran,21.932824837037487
krasica,lipa,26.209580413578582
krasica,klenovica,32.435523180684726
krasica,kastav,17.587437594238477
krasica,klana,20.520588664074307
krasica,grobnik,9.921975003111436
krasica,hreljin,4.515330395586752
krasica,fuzine,12.379956135067443
krasica,drazice,11.153636693422557
krasica,delnice,21.62361589585048
krasica,crikvenica,18.652457187770473
krasica,bribir,23.095513435820603
krasica,brgud,28.972473061577166
krasica,bakar,1.711534354533964
krasica,bakarac,4.08243970097952
krasica,baska,40.778033763757
krasica,rubesi,17.571481784469146
krasica,rijeka,9.119826539866441
krasica,opatija,19.897569388871233
krasica,jadranovo,10.515938396638818
krasica,vrata,13.57085780642445
krasica,selce,21.332629975740332
krasica,veprinac,21.93578383395999
klenovica,omisalj,25.65656565100103
klenovica,matulji,50.10873093105445
klenovica,medveja,48.82559402927022
klenovica,lovran,49.36366493207509
klenovica,lipa,58.61252303161154
klenovica,krasica,32.435523180684726
klenovica,kastav,49.177687286028416
klenovica,klana,52.95393865256918
klenovica,grobnik,42.33924256907532
klenovica,hreljin,27.934054262407383
klenovica,fuzine,24.72136214044723
klenovica,drazice,43.546880114401375
klenovica,delnice,33.137564948009675
klenovica,crikvenica,14.357110386607438
klenovica,bribir,9.341603440211523
klenovica,brgud,52.547595479408294
klenovica,bakar,33.345488560888114
klenovica,bakarac,28.4757289217442
klenovica,baska,16.44613105530955
klenovica,rubesi,48.982905892494394
klenovica,rijeka,40.33107061217367
klenovica,opatija,49.61446031859264
klenovica,jadranovo,22.633746779321115
klenovica,vrata,25.495698347917866
klenovica,selce,11.587994475325033
klenovica,veprinac,51.498274230375856
kastav,omisalj,24.245768809293494
kastav,matulji,2.1870909062314245
kastav,medveja,13.252827460612847
kastav,lovran,10.590617355327755
kastav,lipa,10.989758655717026
kastav,krasica,17.587437594238477
kastav,klenovica,49.177687286028416
kastav,klana,8.174255115396782
kastav,grobnik,8.72289566604028
kastav,hreljin,21.927445540191812
kastav,fuzine,29.51813885027463
kastav,drazice,9.325068266101475
kastav,delnice,35.51964341651632
kastav,crikvenica,34.882504499996415
kastav,bribir,39.91809656413016
kastav,brgud,19.282753117001914
kastav,bakar,16.254187274367332
kastav,bakarac,21.05263537890803
kastav,baska,54.71640525563279
kastav,rubesi,0.6884789712455994
kastav,rijeka,8.855105554858817
kastav,opatija,5.740776136733589
kastav,jadranovo,26.544627343445537
kastav,vrata,30.36425399536963
kastav,selce,37.6636639119241
kastav,veprinac,7.001504844306609
klana,omisalj,29.546923187390444
klana,matulji,9.787642801300839
klana,medveja,21.274468261593928
klana,lovran,18.53270151782011
klana,lipa,6.025546347296353
klana,krasica,20.520588664074307
klana,klenovica,52.95393865256918
klana,kastav,8.174255115396782
klana,grobnik,10.672562192641157
klana,hreljin,25.020493446393903
klana,fuzine,30.7221290852772
klana,drazice,9.449413867460834
klana,delnice,33.75766913194143
klana,crikvenica,39.07038894811467
klana,bribir,43.615281261900776
klana,brgud,27.016912703616406
klana,bakar,19.72650189535778
klana,bakarac,24.527155483627634
klana,baska,60.34948306592074
klana,rubesi,8.858592967675495
klana,rijeka,14.047501091755548
klana,opatija,13.610488218340945
klana,jadranovo,30.748773334799978
klana,vrata,31.118087762614238
klana,selce,41.792667524403484
klana,veprinac,14.314363788197438
grobnik,omisalj,19.122892938918064
grobnik,matulji,10.659671247631143
grobnik,medveja,18.773343734265215
grobnik,lovran,16.74639091699269
grobnik,lipa,16.287646889512263
grobnik,krasica,9.921975003111436
grobnik,klenovica,42.33924256907532
grobnik,kastav,8.72289566604028
grobnik,klana,10.672562192641157
grobnik,hreljin,14.437287511700916
grobnik,fuzine,21.082695689080406
grobnik,drazice,2.1721346220321323
grobnik,delnice,26.88895748442201
grobnik,crikvenica,28.399009828137117
grobnik,bribir,32.997641642471336
grobnik,brgud,25.24116473031317
grobnik,bakar,9.05440852691389
grobnik,bakarac,13.87526893848093
grobnik,baska,49.857987345798406
grobnik,rubesi,8.962731020717632
grobnik,rijeka,4.968812931620812
grobnik,opatija,12.965501690664665
grobnik,jadranovo,20.078193879518864
grobnik,vrata,21.804093616823113
grobnik,selce,31.12527977280431
grobnik,veprinac,14.817726533297881
hreljin,omisalj,8.638835561229461
hreljin,matulji,23.244577410624185
hreljin,medveja,25.90797205428925
hreljin,lovran,25.25903390166681
hreljin,lipa,30.72484878975878
hreljin,krasica,4.515330395586752
hreljin,klenovica,27.934054262407383
hreljin,kastav,21.927445540191812
hreljin,klana,25.020493446393903
hreljin,grobnik,14.437287511700916
hreljin,fuzine,9.256870488894881
hreljin,drazice,15.62053763968575
hreljin,delnice,20.393838402800085
hreljin,crikvenica,14.301733908780408
hreljin,bribir,18.59769214491608
hreljin,brgud,31.58175616862469
hreljin,bakar,5.67325828689891
hreljin,bakarac,1.3649355241608632
hreljin,baska,36.79775879920386
hreljin,rubesi,21.865178989782343
hreljin,rijeka,13.233048416787968
hreljin,opatija,23.772198038192816
hreljin,jadranovo,6.539019346591063
hreljin,vrata,10.79462944084092
hreljin,selce,16.929885659503714
hreljin,veprinac,25.803117604364903
fuzine,omisalj,15.97776959184395
fuzine,matulji,31.146851993828236
fuzine,medveja,35.04870665084064
fuzine,lovran,34.22999685267663
fuzine,lipa,36.721998854741855
fuzine,krasica,12.379956135067443
fuzine,klenovica,24.72136214044723
fuzine,kastav,29.51813885027463
fuzine,klana,30.7221290852772
fuzine,grobnik,21.082695689080406
fuzine,hreljin,9.256870488894881
fuzine,drazice,21.499369656031107
fuzine,delnice,12.580050498224393
fuzine,crikvenica,14.650878000851543
fuzine,bribir,16.310034253988825
fuzine,brgud,40.81796311431383
fuzine,bakar,14.026611699756744
fuzine,bakarac,10.611835669226698
fuzine,baska,37.22195482449106
fuzine,rubesi,29.596455093930352
fuzine,rijeka,21.442896233032133
fuzine,opatija,32.258675903322725
fuzine,jadranovo,11.535492452944048
fuzine,vrata,1.8002405939916626
fuzine,selce,16.290927719286106
fuzine,veprinac,34.29531095292876
drazice,omisalj,20.93314805347388
drazice,matulji,11.4292706844251
drazice,medveja,20.457617536459875
drazice,lovran,18.286016836468665
drazice,lipa,15.32687886322339
drazice,krasica,11.153636693422557
drazice,klenovica,43.546880114401375
drazice,kastav,9.325068266101475
drazice,klana,9.449413867460834
drazice,grobnik,2.1721346220321323
drazice,hreljin,15.62053763968575
drazice,fuzine,21.499369656031107
drazice,delnice,26.264698023049284
drazice,crikvenica,29.792406167158806
drazice,bribir,34.21546739483644
drazice,brgud,26.90681491487313
drazice,bakar,10.543242239499085
drazice,bakarac,15.21123377020619
drazice,baska,51.56146636640695
drazice,rubesi,9.70325350210782
drazice,rijeka,7.133699576870143
drazice,opatija,14.18568923399382
drazice,jadranovo,21.555197916160722
drazice,vrata,22.05356264701985
drazice,selce,32.48393079093654
drazice,veprinac,15.91477440910949
delnice,omisalj,28.262162533312033
delnice,matulji,37.533955436502296
delnice,medveja,44.17025507983948
delnice,lovran,42.760493807113406
delnice,lipa,39.58301182805236
delnice,krasica,21.62361589585048
delnice,klenovica,33.137564948009675
delnice,kastav,35.51964341651632
delnice,klana,33.75766913194143
delnice,grobnik,26.88895748442201
delnice,hreljin,20.393838402800085
delnice,fuzine,12.580050498224393
delnice,drazice,26.264698023049284
delnice,crikvenica,26.488023058993278
delnice,bribir,26.58640552601157
delnice,brgud,50.40465707787848
delnice,bakar,23.292200878216008
delnice,bakarac,21.701734685789685
delnice,baska,47.787486561898895
delnice,rubesi,35.82173588016029
delnice,rijeka,29.303646710049215
delnice,opatija,39.682708725048414
delnice,jadranovo,24.05826125527203
delnice,vrata,10.801763808347129
delnice,selce,27.538756730090306
delnice,veprinac,41.617274957984094
crikvenica,omisalj,11.423805704523447
crikvenica,matulji,35.76640554450137
crikvenica,medveja,34.843978484824355
crikvenica,lovran,35.19607546203168
crikvenica,lipa,44.5725628855022
crikvenica,krasica,18.652457187770473
crikvenica,klenovica,14.357110386607438
crikvenica,kastav,34.882504499996415
crikvenica,klana,39.07038894811467
crikvenica,grobnik,28.399009828137117
crikvenica,hreljin,14.301733908780408
crikvenica,fuzine,14.650878000851543
crikvenica,drazice,29.792406167158806
crikvenica,delnice,26.488023058993278
crikvenica,bribir,5.511373624116039
crikvenica,brgud,39.04851713357718
crikvenica,bakar,19.344688862468846
crikvenica,bakarac,14.581511259394954
crikvenica,baska,23.002801222714563
crikvenica,rubesi,34.66833684222258
crikvenica,rijeka,26.05797278830559
crikvenica,opatija,35.271732879963594
crikvenica,jadranovo,8.379102924633317
crikvenica,vrata,16.155259411044426
crikvenica,selce,2.781913508580152
crikvenica,veprinac,37.16926269359407
bribir,omisalj,16.898022400268868
bribir,matulji,40.91218317555386
bribir,medveja,40.3446314611659
bribir,lovran,40.65650148148911
bribir,lipa,49.27206811050931
